feature_left,feature_right,pairwise_count,pearson,spearman,abs_spearman
daily_load_log1p,session_duration_minutes_log1p,36550,0.9968059664800251,0.9869385719660752,0.9869385719660752
daily_load_log1p,session_duration_minutes,36550,0.9295774446565235,0.9869385719660747,0.9869385719660747
session_count,session_recorded,36550,0.9222409216344385,0.9855756719590928,0.9855756719590928
session_duration_sum_3d,session_srpe_sum_3d,36550,0.968590334602876,0.9839182591996215,0.9839182591996215
session_duration_sum_3d,session_srpe_sum_3d_log1p,36550,0.8925323057111223,0.9839182591996215,0.9839182591996215
session_duration_sum_3d_log1p,session_srpe_sum_3d_log1p,36550,0.9982043849983675,0.9839182591996215,0.9839182591996215
session_duration_sum_3d_log1p,session_srpe_sum_3d,36550,0.8793453561424358,0.9839182591996214,0.9839182591996214
session_duration_sum_28d,session_srpe_sum_28d,36550,0.9825220416581839,0.9838039646289103,0.9838039646289103
session_duration_sum_28d,session_srpe_sum_28d_log1p,36550,0.8585921563813536,0.9838039646289103,0.9838039646289103
session_duration_sum_28d_log1p,session_srpe_sum_28d,36550,0.869204396966823,0.9838039646289103,0.9838039646289103
session_duration_sum_28d_log1p,session_srpe_sum_28d_log1p,36550,0.9988892245728863,0.9838039646289103,0.9838039646289103
session_duration_sum_14d,session_srpe_sum_14d,36550,0.9804371133414349,0.9831336820296487,0.9831336820296487
session_duration_sum_14d,session_srpe_sum_14d_log1p,36550,0.8809252498669724,0.9831336820296487,0.9831336820296487
session_duration_sum_14d_log1p,session_srpe_sum_14d_log1p,36550,0.9988750081291742,0.9831336820296487,0.9831336820296487
session_duration_sum_14d_log1p,session_srpe_sum_14d,36550,0.8858581462591165,0.9831336820296485,0.9831336820296485
daily_load_sum_3d,session_duration_sum_3d,36550,0.9639931535971625,0.9826815076147597,0.9826815076147597
daily_load_sum_3d,session_duration_sum_3d_log1p,36550,0.876322099228409,0.9826815076147597,0.9826815076147597
daily_load_sum_3d_log1p,session_duration_sum_3d_log1p,36550,0.998109407470879,0.9826815076147597,0.9826815076147597
daily_load_sum_3d_log1p,session_duration_sum_3d,36550,0.8923572991279908,0.9826815076147595,0.9826815076147595
session_duration_sum_7d_log1p,session_srpe_sum_7d,36550,0.894212832003377,0.9825570871432859,0.9825570871432859
session_duration_sum_7d,session_srpe_sum_7d,36550,0.9768605013269904,0.9825570871432858,0.9825570871432858
session_duration_sum_7d,session_srpe_sum_7d_log1p,36550,0.8962372640574015,0.9825570871432858,0.9825570871432858
session_duration_sum_7d_log1p,session_srpe_sum_7d_log1p,36550,0.9988008190980884,0.9825570871432858,0.9825570871432858
daily_load_sum_28d,session_duration_sum_28d,36550,0.9790285770282864,0.9819287455389731,0.9819287455389731
daily_load_sum_28d,session_duration_sum_28d_log1p,36550,0.8659613590005709,0.9819287455389731,0.9819287455389731
daily_load_sum_28d_log1p,session_duration_sum_28d,36550,0.8586810999938981,0.9819287455389731,0.9819287455389731
daily_load_sum_28d_log1p,session_duration_sum_28d_log1p,36550,0.9988597502227593,0.9819287455389731,0.9819287455389731
daily_load_sum_14d,session_duration_sum_14d,36550,0.9768108996339067,0.9811308770046395,0.9811308770046395
daily_load_sum_14d,session_duration_sum_14d_log1p,36550,0.8828316818469508,0.9811308770046395,0.9811308770046395
daily_load_sum_14d_log1p,session_duration_sum_14d,36550,0.8809390650388996,0.9811308770046395,0.9811308770046395
daily_load_sum_14d_log1p,session_duration_sum_14d_log1p,36550,0.9988337994620666,0.9811308770046395,0.9811308770046395
daily_load_sum_7d,session_duration_sum_7d,36550,0.9730735153351917,0.9805442549113764,0.9805442549113764
daily_load_sum_7d,session_duration_sum_7d_log1p,36550,0.8915346796150005,0.9805442549113764,0.9805442549113764
daily_load_sum_7d_log1p,session_duration_sum_7d,36550,0.896143686156434,0.9805442549113764,0.9805442549113764
daily_load_sum_7d_log1p,session_duration_sum_7d_log1p,36550,0.9987385811731672,0.9805442549113764,0.9805442549113764
session_count,session_duration_minutes,36550,0.9412807645640439,0.9731100751507474,0.9731100751507474
session_count,session_duration_minutes_log1p,36550,0.9403599198986291,0.9731100751507474,0.9731100751507474
session_count,session_srpe,36550,0.8570608628614088,0.9656577670623063,0.9656577670623063
session_count,session_srpe_log1p,36550,0.9321953371007493,0.9656577670623063,0.9656577670623063
daily_load,session_count,36550,0.853415589027856,0.9654114924366508,0.9654114924366508
daily_load_log1p,session_count,36550,0.9319279839037184,0.9654114924366508,0.9654114924366508
session_duration_minutes,session_recorded,36550,0.8913557279706169,0.961993122271381,0.961993122271381
session_duration_minutes_log1p,session_recorded,36550,0.992908607685305,0.961993122271381,0.961993122271381
session_recorded,session_srpe,36550,0.8202515052055471,0.9610115825532782,0.9610115825532782
session_recorded,session_srpe_log1p,36550,0.9905969963054561,0.9610115825532782,0.9610115825532782
daily_load,session_recorded,36550,0.8186461979218097,0.9610106462954905,0.9610106462954905
daily_load_log1p,session_recorded,36550,0.9905407529923096,0.9610106462954905,0.9610106462954905
session_duration_sum_14d,session_duration_sum_28d,36550,0.959751255064526,0.9596815175488669,0.9596815175488669
session_duration_sum_14d,session_duration_sum_28d_log1p,36550,0.8449327008805882,0.9596815175488669,0.9596815175488669
session_duration_sum_14d_log1p,session_duration_sum_28d,36550,0.8857482741393167,0.9596815175488669,0.9596815175488669
session_duration_sum_14d_log1p,session_duration_sum_28d_log1p,36550,0.9528743768571086,0.9596815175488669,0.9596815175488669
daily_load_sum_14d,daily_load_sum_28d,36550,0.9560671862366652,0.9575650438655646,0.9575650438655646
daily_load_sum_14d,daily_load_sum_28d_log1p,36550,0.8213835952141609,0.9575650438655646,0.9575650438655646
daily_load_sum_14d_log1p,daily_load_sum_28d,36550,0.8676433356105602,0.9575650438655646,0.9575650438655646
daily_load_sum_14d_log1p,daily_load_sum_28d_log1p,36550,0.9481658961579483,0.9575650438655646,0.9575650438655646
session_duration_sum_14d,session_duration_sum_7d,36550,0.9569089072988304,0.957246707659083,0.957246707659083
session_duration_sum_14d_log1p,session_duration_sum_7d,36550,0.8595803320140261,0.957246707659083,0.957246707659083
session_duration_sum_14d,session_duration_sum_7d_log1p,36550,0.9025962534503338,0.957246707659083,0.957246707659083
session_duration_sum_14d_log1p,session_duration_sum_7d_log1p,36550,0.9557931387185151,0.957246707659083,0.957246707659083
daily_load_sum_14d,session_srpe_sum_28d,36550,0.9545763755092291,0.9568963708253674,0.9568963708253674
daily_load_sum_14d,session_srpe_sum_28d_log1p,36550,0.8208541183331935,0.9568963708253674,0.9568963708253674
daily_load_sum_14d_log1p,session_srpe_sum_28d,36550,0.8703293429430115,0.9568963708253674,0.9568963708253674
daily_load_sum_14d_log1p,session_srpe_sum_28d_log1p,36550,0.948144942705023,0.9568963708253674,0.9568963708253674
session_srpe_sum_14d,session_srpe_sum_28d,36550,0.9556408527569659,0.9567973482228027,0.9567973482228027
session_srpe_sum_14d,session_srpe_sum_28d_log1p,36550,0.8233715849706449,0.9567973482228027,0.9567973482228027
session_srpe_sum_14d_log1p,session_srpe_sum_28d,36550,0.8700479914537245,0.9567973482228027,0.9567973482228027
session_srpe_sum_14d_log1p,session_srpe_sum_28d_log1p,36550,0.9481529790318146,0.9567973482228027,0.9567973482228027
daily_load_sum_28d,session_srpe_sum_14d,36550,0.9536121150392277,0.955867201852473,0.955867201852473
daily_load_sum_28d,session_srpe_sum_14d_log1p,36550,0.866991499279718,0.955867201852473,0.955867201852473
daily_load_sum_28d_log1p,session_srpe_sum_14d_log1p,36550,0.9481364719510192,0.955867201852473,0.955867201852473
daily_load_sum_28d_log1p,session_srpe_sum_14d,36550,0.8235677871532581,0.9558672018524729,0.9558672018524729
daily_load_sum_14d,daily_load_sum_7d,36550,0.9516005756849633,0.9551151247907891,0.9551151247907891
daily_load_sum_14d_log1p,daily_load_sum_7d,36550,0.8342584656103232,0.9551151247907891,0.9551151247907891
daily_load_sum_14d,daily_load_sum_7d_log1p,36550,0.8837621339035524,0.9551151247907891,0.9551151247907891
daily_load_sum_14d_log1p,daily_load_sum_7d_log1p,36550,0.9511743507475067,0.9551151247907891,0.9551151247907891
session_srpe_sum_14d,session_srpe_sum_7d,36550,0.9510284014354866,0.9542552440129697,0.9542552440129697
session_srpe_sum_14d_log1p,session_srpe_sum_7d,36550,0.8358514811530794,0.9542552440129697,0.9542552440129697
session_srpe_sum_14d,session_srpe_sum_7d_log1p,36550,0.8858241689585227,0.9542552440129697,0.9542552440129697
session_srpe_sum_14d_log1p,session_srpe_sum_7d_log1p,36550,0.9511301949250077,0.9542552440129697,0.9542552440129697
daily_load_sum_7d,session_srpe_sum_14d,36550,0.9496906161095641,0.9541699301235143,0.9541699301235143
daily_load_sum_7d,session_srpe_sum_14d_log1p,36550,0.8336901263197178,0.9541699301235143,0.9541699301235143
daily_load_sum_7d_log1p,session_srpe_sum_14d_log1p,36550,0.9511145381763622,0.9541699301235143,0.9541699301235143
daily_load_sum_7d_log1p,session_srpe_sum_14d,36550,0.8860139491906667,0.9541699301235141,0.9541699301235141
daily_load_sum_14d,session_srpe_sum_7d,36550,0.9490533418896424,0.9533124064165476,0.9533124064165476
daily_load_sum_14d,session_srpe_sum_7d_log1p,36550,0.88311608782637,0.9533124064165476,0.9533124064165476
daily_load_sum_14d_log1p,session_srpe_sum_7d_log1p,36550,0.9511378397454261,0.9533124064165476,0.9533124064165476
daily_load_sum_14d_log1p,session_srpe_sum_7d,36550,0.8360119773113035,0.9533124064165474,0.9533124064165474
session_duration_sum_14d,session_srpe_sum_28d,36550,0.9434577290719306,0.9456523424998343,0.9456523424998343
session_duration_sum_14d,session_srpe_sum_28d_log1p,36550,0.8285704448938694,0.9456523424998343,0.9456523424998343
session_duration_sum_14d_log1p,session_srpe_sum_28d,36550,0.8784263325099539,0.9456523424998343,0.9456523424998343
session_duration_sum_14d_log1p,session_srpe_sum_28d_log1p,36550,0.946752519974406,0.9456523424998343,0.9456523424998343
readiness_mean_14d,readiness_mean_28d,22579,0.9456103655032716,0.9439770348724004,0.9439770348724004
daily_load_sum_28d_log1p,session_duration_sum_14d,36550,0.8286084838583955,0.9438098307740896,0.9438098307740896
daily_load_sum_28d,session_duration_sum_14d,36550,0.9398295028343023,0.9438098307740895,0.9438098307740895
daily_load_sum_28d,session_duration_sum_14d_log1p,36550,0.8751502249522737,0.9438098307740895,0.9438098307740895
daily_load_sum_28d_log1p,session_duration_sum_14d_log1p,36550,0.9467195831422587,0.9438098307740895,0.9438098307740895
session_duration_sum_7d,session_srpe_sum_14d,36550,0.9388163913390729,0.9433123696126666,0.9433123696126666
session_duration_sum_7d,session_srpe_sum_14d_log1p,36550,0.8451985376223325,0.9433123696126666,0.9433123696126666
session_duration_sum_7d_log1p,session_srpe_sum_14d_log1p,36550,0.9499322943355444,0.9433123696126666,0.9433123696126666
session_duration_sum_7d_log1p,session_srpe_sum_14d,36550,0.8913606761008854,0.9433123696126664,0.9433123696126664
session_duration_sum_28d,session_srpe_sum_14d,36550,0.9383284110494511,0.9419123852067687,0.9419123852067687
session_duration_sum_28d,session_srpe_sum_14d_log1p,36550,0.8723263194171922,0.9419123852067687,0.9419123852067687
session_duration_sum_28d_log1p,session_srpe_sum_14d_log1p,36550,0.9525692941393546,0.9419123852067687,0.9419123852067687
session_duration_sum_28d_log1p,session_srpe_sum_14d,36550,0.8349186434404405,0.9419123852067685,0.9419123852067685
daily_load_sum_14d_log1p,session_duration_sum_7d,36550,0.8451911453329816,0.9414826499252097,0.9414826499252097
daily_load_sum_14d,session_duration_sum_7d,36550,0.9352767619876756,0.9414826499252096,0.9414826499252096
daily_load_sum_14d,session_duration_sum_7d_log1p,36550,0.8884138371752944,0.9414826499252096,0.9414826499252096
daily_load_sum_14d_log1p,session_duration_sum_7d_log1p,36550,0.9499169871423445,0.9414826499252096,0.9414826499252096
daily_load_sum_14d,session_duration_sum_28d,36550,0.9356745485804454,0.9409211445632903,0.9409211445632903
daily_load_sum_14d,session_duration_sum_28d_log1p,36550,0.8322283041736998,0.9409211445632903,0.9409211445632903
daily_load_sum_14d_log1p,session_duration_sum_28d_log1p,36550,0.9525518353309261,0.9409211445632903,0.9409211445632903
daily_load_sum_14d_log1p,session_duration_sum_28d,36550,0.872430897499421,0.9409211445632902,0.9409211445632902
session_duration_sum_14d,session_srpe_sum_7d,36550,0.9317254430505418,0.9393628848120601,0.9393628848120601
session_duration_sum_14d,session_srpe_sum_7d_log1p,36550,0.8910563974670784,0.9393628848120601,0.9393628848120601
session_duration_sum_14d_log1p,session_srpe_sum_7d,36550,0.8445624472183393,0.9393628848120601,0.9393628848120601
session_duration_sum_14d_log1p,session_srpe_sum_7d_log1p,36550,0.9552472550969652,0.9393628848120601,0.9393628848120601
daily_load_sum_7d,session_duration_sum_14d,36550,0.9289056480265139,0.938323571626536,0.938323571626536
daily_load_sum_7d,session_duration_sum_14d_log1p,36550,0.8422095671737116,0.938323571626536,0.938323571626536
daily_load_sum_7d_log1p,session_duration_sum_14d,36550,0.8910613349514565,0.938323571626536,0.938323571626536
daily_load_sum_7d_log1p,session_duration_sum_14d_log1p,36550,0.9552143574416404,0.938323571626536,0.938323571626536
readiness_mean_14d,readiness_mean_7d,21480,0.9413947648210216,0.9370804442506826,0.9370804442506826
fatigue_mean_14d,fatigue_mean_28d,22572,0.9281521287705837,0.9253391782565088,0.9253391782565088
session_duration_sum_3d,session_duration_sum_7d,36550,0.9054721015938729,0.9240295738415558,0.9240295738415558
session_duration_sum_3d,session_duration_sum_7d_log1p,36550,0.824859318820124,0.9240295738415558,0.9240295738415558
session_duration_sum_3d_log1p,session_duration_sum_7d,36550,0.9019553414937141,0.9240295738415558,0.9240295738415558
session_duration_sum_3d_log1p,session_duration_sum_7d_log1p,36550,0.9340224366481918,0.9240295738415558,0.9240295738415558
daily_load_sum_3d,daily_load_sum_7d,36550,0.8927550204815128,0.9218450350204798,0.9218450350204798
daily_load_sum_3d,daily_load_sum_7d_log1p,36550,0.7923207519955705,0.9218450350204798,0.9218450350204798
daily_load_sum_3d_log1p,daily_load_sum_7d,36550,0.8823289921055143,0.9218450350204798,0.9218450350204798
daily_load_sum_3d_log1p,daily_load_sum_7d_log1p,36550,0.9294057399197191,0.9218450350204798,0.9218450350204798
session_srpe_sum_3d_log1p,session_srpe_sum_7d,36550,0.8840375448955403,0.9215062954925687,0.9215062954925687
session_srpe_sum_3d,session_srpe_sum_7d,36550,0.8930302208260059,0.9215062954925685,0.9215062954925685
session_srpe_sum_3d,session_srpe_sum_7d_log1p,36550,0.7941684543128027,0.9215062954925685,0.9215062954925685
session_srpe_sum_3d_log1p,session_srpe_sum_7d_log1p,36550,0.9294033014752213,0.9215062954925685,0.9215062954925685
daily_load_sum_3d,session_srpe_sum_7d,36550,0.8906491729982094,0.9212988909245087,0.9212988909245087
daily_load_sum_3d,session_srpe_sum_7d_log1p,36550,0.7917682466278608,0.9212988909245087,0.9212988909245087
daily_load_sum_3d_log1p,session_srpe_sum_7d_log1p,36550,0.9293560945518848,0.9212988909245087,0.9212988909245087
daily_load_sum_3d_log1p,session_srpe_sum_7d,36550,0.8840947747279372,0.9212988909245083,0.9212988909245083
daily_load_sum_7d,session_srpe_sum_3d,36550,0.8908240842085504,0.9205536484155136,0.9205536484155136
daily_load_sum_7d,session_srpe_sum_3d_log1p,36550,0.8817174469944921,0.9205536484155136,0.9205536484155136
daily_load_sum_7d_log1p,session_srpe_sum_3d_log1p,36550,0.9293826096753888,0.9205536484155136,0.9205536484155136
daily_load_sum_7d_log1p,session_srpe_sum_3d,36550,0.7942164943228349,0.9205536484155135,0.9205536484155135
session_duration_sum_3d,session_srpe_sum_7d,36550,0.8848112284778422,0.9112826139972134,0.9112826139972134
session_duration_sum_3d,session_srpe_sum_7d_log1p,36550,0.8129107100435179,0.9112826139972134,0.9112826139972134
session_duration_sum_3d_log1p,session_srpe_sum_7d_log1p,36550,0.9279469396874683,0.9112826139972134,0.9112826139972134
session_duration_sum_3d_log1p,session_srpe_sum_7d,36550,0.8851598999028489,0.9112826139972133,0.9112826139972133
session_duration_sum_7d,session_srpe_sum_3d,36550,0.8717604505772175,0.9102609605661512,0.9102609605661512
session_duration_sum_7d,session_srpe_sum_3d_log1p,36550,0.8930718458738857,0.9102609605661512,0.9102609605661512
session_duration_sum_7d_log1p,session_srpe_sum_3d,36550,0.799279687711991,0.9102609605661512,0.9102609605661512
session_duration_sum_7d_log1p,session_srpe_sum_3d_log1p,36550,0.9335836198176196,0.9102609605661512,0.9102609605661512
daily_load_sum_7d,session_duration_sum_3d,36550,0.8813136467296957,0.9098371876620818,0.9098371876620818
daily_load_sum_7d,session_duration_sum_3d_log1p,36550,0.8825717576068711,0.9098371876620818,0.9098371876620818
daily_load_sum_7d_log1p,session_duration_sum_3d_log1p,36550,0.9278966521675147,0.9098371876620818,0.9098371876620818
daily_load_sum_7d_log1p,session_duration_sum_3d,36550,0.8128068767311185,0.9098371876620817,0.9098371876620817
session_duration_sum_28d,session_duration_sum_7d_log1p,36550,0.8732133385974955,0.9096994325040205,0.9096994325040205
session_duration_sum_28d,session_duration_sum_7d,36550,0.9031781378080955,0.9096994325040203,0.9096994325040203
session_duration_sum_28d_log1p,session_duration_sum_7d,36550,0.8058593137923389,0.9096994325040203,0.9096994325040203
session_duration_sum_28d_log1p,session_duration_sum_7d_log1p,36550,0.9021767594612335,0.9096994325040203,0.9096994325040203
daily_load_sum_3d,session_duration_sum_7d,36550,0.8682164978140852,0.9095628006348724,0.9095628006348724
daily_load_sum_3d,session_duration_sum_7d_log1p,36550,0.7966897420461018,0.9095628006348724,0.9095628006348724
daily_load_sum_3d_log1p,session_duration_sum_7d,36550,0.8929683003543507,0.9095628006348724,0.9095628006348724
daily_load_sum_3d_log1p,session_duration_sum_7d_log1p,36550,0.9335158488282553,0.9095628006348724,0.9095628006348724
daily_load_sum_28d,daily_load_sum_7d_log1p,36550,0.8571941446472238,0.9052300056160605,0.9052300056160605
daily_load_sum_28d,daily_load_sum_7d,36550,0.8940456103887515,0.9052300056160603,0.9052300056160603
daily_load_sum_28d_log1p,daily_load_sum_7d,36550,0.7798208514883325,0.9052300056160603,0.9052300056160603
daily_load_sum_28d_log1p,daily_load_sum_7d_log1p,36550,0.8949331894824734,0.9052300056160603,0.9052300056160603
daily_load_sum_7d,session_srpe_sum_28d,36550,0.8927220995225078,0.9048114671076785,0.9048114671076785
daily_load_sum_7d,session_srpe_sum_28d_log1p,36550,0.7793481565189334,0.9048114671076785,0.9048114671076785
daily_load_sum_7d_log1p,session_srpe_sum_28d,36550,0.8597122237481623,0.9048114671076785,0.9048114671076785
daily_load_sum_7d_log1p,session_srpe_sum_28d_log1p,36550,0.8949049472781606,0.9048114671076785,0.9048114671076785
readiness_mean_3d,readiness_mean_7d,20190,0.9132544678586948,0.9040097705376251,0.9040097705376251
session_srpe_sum_28d,session_srpe_sum_7d,36550,0.8930439079154842,0.904009507386836,0.904009507386836
session_srpe_sum_28d_log1p,session_srpe_sum_7d,36550,0.7812408919304982,0.904009507386836,0.904009507386836
session_srpe_sum_28d_log1p,session_srpe_sum_7d_log1p,36550,0.8949047487433515,0.904009507386836,0.904009507386836
session_srpe_sum_28d,session_srpe_sum_7d_log1p,36550,0.8594293511648043,0.9040095073868359,0.9040095073868359
daily_load_sum_28d_log1p,session_srpe_sum_7d,36550,0.781401998794212,0.9030354554429628,0.9030354554429628
daily_load_sum_28d,session_srpe_sum_7d,36550,0.8910892704937572,0.9030354554429627,0.9030354554429627
daily_load_sum_28d,session_srpe_sum_7d_log1p,36550,0.856528528961725,0.9030354554429627,0.9030354554429627
daily_load_sum_28d_log1p,session_srpe_sum_7d_log1p,36550,0.8948946942502827,0.9030354554429627,0.9030354554429627
