feature_left,feature_right,pairwise_count,pearson,spearman,exact_equal,expected_transform_pair,classification,disposition
daily_load_sum_28d,daily_load_sum_28d_log1p,36550,0.854499413202254,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_28d,session_srpe_sum_28d_log1p,36550,0.8538884950722595,0.9991174430726256,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_duration_sum_3d,session_duration_sum_3d_log1p,36550,0.9060214456898482,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_duration_sum_7d,session_duration_sum_7d_log1p,36550,0.909487942134837,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_duration_sum_14d,session_duration_sum_14d_log1p,36550,0.8960116558853618,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_duration_sum_28d,session_duration_sum_28d_log1p,36550,0.8757685337622371,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_3d_log1p,session_srpe_sum_3d,36550,0.8772797419878238,0.9989908417796168,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_srpe_sum_3d,session_srpe_sum_3d_log1p,36550,0.8773141105129519,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_7d_log1p,session_srpe_sum_7d,36550,0.8884385105724496,0.9987490484183964,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_srpe_sum_7d,session_srpe_sum_7d_log1p,36550,0.888366098532516,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_14d_log1p,session_srpe_sum_14d,36550,0.876783583858067,0.9989454281669904,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_srpe_sum_14d,session_srpe_sum_14d_log1p,36550,0.8765959718006714,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_28d_log1p,session_srpe_sum_28d,36550,0.8571844499108031,0.9991174430726256,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
session_srpe_sum_28d,session_srpe_sum_28d_log1p,36550,0.8569277907070625,1.0,false,true,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_log1p,session_srpe_log1p,36550,0.9998588679409149,0.9991975283233818,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_3d_log1p,session_srpe_sum_3d_log1p,36550,0.9999332051597197,0.9989908417796168,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_7d_log1p,session_srpe_sum_7d_log1p,36550,0.9999603732210646,0.9987490484183964,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_14d_log1p,session_srpe_sum_14d_log1p,36550,0.9999738861701137,0.9989454281669905,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
daily_load_sum_28d_log1p,session_srpe_sum_28d_log1p,36550,0.9999803843711157,0.9991174430726256,false,false,near_deterministic,REVIEW_REPRESENTATION_REDUNDANCY
